,title,company,location,summary,mean_salary
4287,research associate/ senior research associate or research fe...,University of Bristol,Bristol BS8 1QU,"the hpn research group, which is part of the smart internet lab and led by professor reza nejabati, specialises in the application of advanced hardware and…",36445.5
4410,junior/graduate data scientist,Spectrum IT,Southampton,as a junior/graduate data scientist you will focus on big data and ai technologies to solve problems in a variety of industries.programming in python or java.,35000.0
4413,phd graduate data scientist,Spectrum IT,Southampton,"knowledge of, or enthusiasm for machine learning and other data science techniques.the data scientist will be tasked with creating algorithms to analyse large…",45000.0
4416,senior data scientist (option for remote work - uk/eu/us-eas...,Searchlight Security Limited,Southampton PO6 4TY•Remote,"a strong understanding of python and common frameworks used by data scientists (tensorflow, nltk, keras, scikit, numpy, etc).",55000.0
4417,research fellow in natural language processing,University of Southampton,Southampton,the protechthem project (www.protechthem.org) is exploring how criminology and computer science can enable better targeted awareness-raising activities and to…,34996.5
4425,data scientist - applied mathematician,The Flowminder Foundation,Southampton,"data integration: combining multiple data sources in analyses (spatial data, survey data, mobile operator data).anomaly detection and data cleaning.",57900.0
4440,junior/graduate data scientist,Spectrum IT,Southampton,junior/graduate data scientist required by a niche technology company located in southampton.due to continued success and expansion the company is looking to…,35000.0
4443,phd graduate data scientist,Spectrum IT,Southampton,"knowledge of, or enthusiasm for machine learning and other data science techniques.as part of continued impressive growth plans the company requires an phd…",45000.0
4447,research fellow in natural language processing,University of Southampton,Southampton,you will join our team working on deep learning-based natural language processing (nlp) models for behaviour classification as part of the protechthem (building…,34996.5
4450,head of data science,ADLIB,Southampton•Remote,"proven experience managing a team of data scientists/analysts.as the head of data science, you will build and manage a team of highly talented data scientists…",92500.0
4641,"consultant, manager & senior manager - data risk analytics -...",MBN Recruitment Solutions,Edinburgh,"data management, data governance, data quality.big data tools such as hadoop and spark;at senior manager level you will have experience working with chief…",90000.5
4642,research associate in deep learning for image co-registratio...,Heriot Watt University,Edinburgh,the ability to communicate effectively both orally and in writing at a level in english appropriate to the research and presentation of data.,33309.0
